productName;productSlug;productDescription;sku;price;currencyCode;optionGroups;optionValues
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-170-S;8500;EUR;Color|Size;Color:22.06 HELMET MATT BLACK SIZE S|Size:S
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-170-XL;8500;EUR;Color|Size;Color:22.06 HELMET MATT BLACK SIZE XL|Size:XL
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-170-XXL;8500;EUR;Color|Size;Color:22.06 HELMET MATT BLACK SIZE XXL|Size:XXL
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-020-L;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET WHITE SIZE L|Size:L
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-020-M;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET WHITE SIZE M|Size:M
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-020-S;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET WHITE SIZE S|Size:S
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-020-XL;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET WHITE SIZE XL|Size:XL
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-020-XXL;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET WHITE SIZE XXL|Size:XXL
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-099-L;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET FLUO YELLOW SIZE L|Size:L
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-099-M;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET FLUO YELLOW SIZE M|Size:M
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-099-S;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET FLUO YELLOW SIZE S|Size:S
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-099-XL;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET FLUO YELLOW SIZE XL|Size:XL
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-099-XXL;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET FLUO YELLOW SIZE XXL|Size:XXL
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-170-L;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET MATT BLACK SIZE L|Size:L
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-170-M;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET MATT BLACK SIZE M|Size:M
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-170-S;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET MATT BLACK SIZE S|Size:S
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-170-XL;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET MATT BLACK SIZE XL|Size:XL
STAR-J INTERCOM;star-j-intercom;;SC0-0617-A02-170-XXL;18900;EUR;Color|Size;Color:STAR-J INTERCOM HELMET MATT BLACK SIZE XXL|Size:XXL
Spare smoked visor for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-smoked-visor-for-full-face-helmets-gp8-evo-gp8-k-evo-s;;SC0-0161;7500;EUR;Color;Color:SMOKED VISOR FOR GP8 EVO HELMETS
Spare iridium blue visor for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-iridium-blue-visor-for-full-face-helmets-gp8-evo-gp8-k;;SC0-0162;9300;EUR;Color;Color:IRIDIUM BLUE VISOR FOR GP8 EVO HELMETS
Clear visor for Circuit EVO (SC613) helmet;clear-visor-for-circuit-evo-sc613-helmet;;SC0-0185;2000;EUR;Color;Color:CLEAR VISOR FOR CIRCUIT EVO SC613
Dark visor for Circuit EVO (SC613) helmet;dark-visor-for-circuit-evo-sc613-helmet;;SC0-0186;2000;EUR;Color;Color:DARK VISOR FOR CIRCUIT EVO SC613
Clear visor for GP-R (SC799) / GP-R K (SC799K) helmets;clear-visor-for-gp-r-sc799-gp-r-k-sc799k-helmets;;SC0-0195;8300;EUR;Color;Color:CLEAR SHIELD FOR GP-R / GP-R K
Smoked visor for GP-R (SC799) / GP-R K (SC799K) helmets;smoked-visor-for-gp-r-sc799-gp-r-k-sc799k-helmets;;SC0-0196;8300;EUR;Color;Color:DARK SHIELD FOR GP-R / GP-R K
